Firm #,E/A,ROA,D/A,OPM,ATR,Size,QR,CR,Default=1,,
1185,0.53,0.82,0.47,0.35,2.33,1203.25,2.36,1.84,0,,
1186,0.63,0.63,0.37,0.38,1.68,943.30,1.79,3.34,0,,
1187,0.58,0.72,0.42,0.34,2.12,1030.10,1.71,2.28,0,,
1188,0.45,0.57,0.55,0.23,2.49,1081.76,2.31,3.42,0,,
1189,0.83,0.32,0.17,0.19,1.73,910.21,1.91,2.55,0,,
1190,0.76,0.40,0.24,0.19,2.05,936.35,2.43,3.02,0,,
1191,0.56,0.53,0.44,0.25,2.12,1055.07,2.57,3.35,0,,
1192,0.67,0.60,0.33,0.32,1.86,880.19,2.32,2.35,0,,
1193,0.63,0.59,0.37,0.33,1.80,972.04,1.99,1.39,0,,
1194,0.75,0.43,0.25,0.25,1.74,874.33,2.21,2.46,0,,
1195,0.69,0.32,0.31,0.18,1.75,977.66,2.33,2.58,0,,
1196,0.64,0.49,0.36,0.26,1.89,976.00,2.17,2.59,0,,
1197,0.67,0.56,0.33,0.34,1.63,861.42,1.82,2.33,0,,
1198,0.69,0.52,0.31,0.27,1.94,1002.83,2.43,2.76,0,,
1199,0.64,0.95,0.36,0.43,2.20,1080.41,1.98,2.73,0,,
1200,0.69,0.39,0.31,0.20,1.95,969.18,2.11,2.34,0,,
1201,0.47,0.83,0.53,0.36,2.32,1036.75,2.34,1.79,0,,
1202,0.70,0.75,0.30,0.39,1.91,933.07,2.33,3.15,0,,
1203,0.42,0.65,0.58,0.25,2.60,1136.03,2.14,2.32,0,,
1204,0.64,0.57,0.36,0.29,1.98,986.83,1.94,1.97,0,,
1205,0.75,0.31,0.25,0.15,2.01,870.21,2.75,2.98,0,,
1206,0.66,0.40,0.34,0.20,2.03,842.39,1.03,2.21,0,,
1207,0.51,0.34,0.49,0.18,1.93,883.10,1.86,2.61,0,,
1208,0.49,0.63,0.51,0.23,2.73,1145.44,2.31,3.51,0,,
1209,0.58,0.54,0.42,0.34,1.59,982.22,1.28,1.33,0,,
1210,0.57,0.57,0.43,0.28,2.02,976.91,1.57,2.77,0,,
1211,0.54,0.70,0.46,0.37,1.88,938.92,1.83,2.87,0,,
1212,0.75,0.66,0.25,0.37,1.78,1036.88,2.26,3.11,0,,
1213,0.66,0.50,0.34,0.32,1.54,850.10,1.65,2.50,0,,
1214,0.78,0.67,0.22,0.34,1.97,988.35,2.43,3.09,0,,
1215,0.64,0.68,0.36,0.36,1.86,951.98,1.80,2.64,0,,
1216,0.51,0.95,0.49,0.55,1.72,1108.27,1.97,2.86,0,,
1217,0.53,0.91,0.47,0.39,2.34,1041.54,2.30,2.68,0,,
1218,0.37,0.51,0.63,0.20,2.53,935.04,1.47,2.87,1,,
1219,0.58,0.81,0.42,0.33,2.43,984.60,2.01,2.25,0,,
1220,0.82,0.68,0.18,0.32,2.10,882.74,2.13,3.38,0,,
1221,0.43,0.80,0.57,0.43,1.87,1293.48,2.13,2.50,0,,
1222,0.47,0.78,0.53,0.41,1.93,1144.17,2.34,3.11,0,,
1223,0.66,0.56,0.34,0.24,2.35,926.78,2.00,2.17,0,,
1224,0.58,0.58,0.42,0.31,1.90,1123.71,2.24,2.41,0,,
1225,0.52,0.70,0.48,0.35,2.00,1187.19,2.27,2.19,1,,
1226,0.56,0.62,0.44,0.33,1.88,970.46,2.01,2.34,0,,
1227,0.53,0.98,0.47,0.51,1.91,1041.94,2.18,2.60,0,,
1228,0.61,0.35,0.39,0.14,2.47,765.92,1.46,1.76,0,,
1229,0.60,0.66,0.40,0.38,1.73,985.97,1.92,1.77,0,,
1230,0.59,0.72,0.41,0.42,1.73,982.01,2.60,3.17,0,,
1231,0.68,0.51,0.32,0.23,2.26,1111.00,2.30,3.29,0,,
1232,0.46,0.94,0.54,0.38,2.50,1052.40,2.01,2.73,0,,
1233,0.60,0.66,0.40,0.29,2.26,1097.45,2.18,2.04,0,,
1234,0.53,0.39,0.47,0.21,1.82,818.76,2.02,1.51,0,,
1235,0.69,0.56,0.31,0.29,1.91,929.74,1.66,2.77,0,,
1236,0.71,0.79,0.29,0.44,1.80,983.86,2.40,2.43,0,,
1237,0.61,0.53,0.39,0.26,2.06,1004.70,2.26,3.05,1,,
1238,0.63,0.63,0.37,0.36,1.76,989.84,1.94,3.19,0,,
1239,0.48,0.38,0.52,0.21,1.76,817.03,0.91,0.76,0,,
1240,0.54,0.55,0.46,0.22,2.48,989.69,1.96,3.10,0,,
1241,0.55,0.47,0.45,0.19,2.47,1021.82,1.71,2.56,0,,
1242,0.74,0.29,0.26,0.13,2.26,791.28,1.78,2.30,0,,
1243,0.70,0.37,0.30,0.19,1.94,832.78,1.80,2.90,0,,
1244,0.58,0.38,0.42,0.22,1.78,1029.12,2.40,1.85,0,,
1245,0.63,0.54,0.37,0.25,2.18,1029.19,2.56,2.70,0,,
1246,0.47,0.34,0.53,0.16,2.07,1063.20,2.12,2.73,0,,
1247,0.47,0.58,0.53,0.28,2.10,976.13,2.03,2.95,0,,
1248,0.66,0.51,0.34,0.21,2.38,817.46,2.09,2.88,0,,
1249,0.51,0.58,0.49,0.24,2.42,1013.88,2.25,2.25,0,,
1250,0.46,0.61,0.54,0.30,2.06,1009.09,2.29,3.08,0,,
1251,0.57,0.83,0.43,0.42,1.98,1087.84,1.23,2.72,0,,
1252,0.44,0.65,0.56,0.33,1.95,1131.07,1.60,2.50,0,,
1253,0.49,0.66,0.51,0.36,1.82,1094.39,1.84,2.55,0,,
1254,0.58,0.81,0.42,0.46,1.77,1155.31,2.25,1.96,0,,
1255,0.51,0.63,0.49,0.38,1.64,1032.46,2.19,2.38,0,,
1256,0.58,0.79,0.42,0.32,2.50,1064.76,2.17,3.67,0,,
1257,0.64,0.78,0.36,0.40,1.97,1079.84,2.39,3.16,0,,
1258,0.56,0.82,0.44,0.53,1.55,1141.37,1.85,2.22,0,,
1259,0.60,0.52,0.40,0.25,2.06,960.32,2.01,2.22,0,,
1260,0.64,0.80,0.36,0.38,2.12,1107.17,2.40,1.92,0,,
1261,0.42,0.56,0.58,0.26,2.19,981.16,1.71,2.59,0,,
1262,0.58,0.38,0.42,0.18,2.11,933.40,2.51,2.17,0,,
1263,0.33,0.72,0.67,0.29,2.49,1134.28,1.66,2.04,0,,
1264,0.63,0.68,0.37,0.29,2.38,1032.10,2.12,3.12,1,,
1265,0.54,0.30,0.46,0.12,2.51,781.92,1.98,2.52,0,,
1266,0.44,0.41,0.56,0.18,2.35,1136.71,2.00,2.61,0,,
1267,0.33,0.82,0.67,0.35,2.35,1191.00,1.73,2.79,0,,
1268,0.57,0.71,0.43,0.36,1.96,1091.20,1.99,2.85,0,,
1269,0.68,0.62,0.32,0.36,1.73,980.45,2.26,2.06,0,,
1270,0.52,0.66,0.48,0.36,1.83,1036.97,1.68,1.73,0,,
1271,0.73,0.44,0.27,0.26,1.72,833.64,1.76,2.28,0,,
1272,0.63,0.59,0.37,0.35,1.69,1004.59,2.32,2.99,0,,
1273,0.57,0.94,0.43,0.55,1.72,1134.44,1.83,2.62,0,,
1274,0.45,0.76,0.55,0.52,1.45,1123.88,2.12,1.65,0,,
1275,0.46,0.67,0.54,0.32,2.08,993.76,1.45,2.11,0,,
1276,0.60,0.62,0.40,0.44,1.43,1002.11,1.95,1.15,0,,
1277,0.51,0.53,0.49,0.26,2.07,1018.73,2.31,2.19,0,,
1278,0.63,0.55,0.37,0.33,1.69,965.12,0.96,1.68,0,,
1279,0.53,0.68,0.47,0.33,2.07,868.69,1.39,2.06,1,,
1280,0.41,0.95,0.59,0.41,2.31,1176.21,1.94,2.12,1,,
1281,0.58,0.32,0.42,0.18,1.72,953.54,2.34,2.16,0,,
1282,0.63,0.61,0.37,0.36,1.70,1027.93,1.96,1.80,0,,
1283,0.65,0.53,0.35,0.31,1.74,925.37,1.89,2.24,0,,
1284,0.53,0.66,0.47,0.35,1.89,1089.56,1.66,2.39,0,,
1285,0.47,0.49,0.53,0.23,2.18,983.97,1.89,2.24,0,,
1286,0.39,0.60,0.61,0.30,1.96,968.19,1.70,1.57,0,,
1287,0.59,0.32,0.41,0.15,2.13,868.87,2.34,2.09,0,,
1288,0.58,0.55,0.42,0.23,2.36,1112.38,2.24,3.20,0,,
1289,0.66,0.41,0.34,0.19,2.11,895.25,1.84,2.66,0,,
1290,0.44,0.61,0.56,0.30,2.03,977.39,1.75,1.61,0,,
1291,0.61,0.65,0.39,0.32,2.05,1077.03,1.89,2.45,0,,
1292,0.65,0.75,0.35,0.37,2.00,923.44,2.11,2.62,0,,
1293,0.38,0.44,0.62,0.24,1.83,983.86,1.67,1.99,0,,
1294,0.52,0.68,0.48,0.34,1.98,1014.74,1.83,3.37,0,,
1295,0.53,1.03,0.47,0.42,2.44,1051.44,1.79,2.11,0,,
1296,0.70,0.68,0.30,0.37,1.82,1071.20,2.48,3.19,0,,
1297,0.56,0.35,0.44,0.15,2.27,984.32,1.72,2.23,0,,
1298,0.55,0.90,0.45,0.38,2.36,1149.25,2.35,3.33,0,,
1299,0.71,0.42,0.29,0.26,1.62,850.85,1.49,2.91,0,,
1300,0.62,0.88,0.38,0.43,2.04,1028.36,1.92,2.57,0,,
1301,0.64,0.68,0.36,0.38,1.77,1077.59,1.67,2.50,0,,
1302,0.55,0.59,0.45,0.28,2.15,896.49,2.02,2.45,0,,
1303,0.70,0.63,0.30,0.31,2.05,962.49,2.24,3.47,0,,
1304,0.49,0.73,0.51,0.37,1.96,1052.03,2.16,1.87,0,,
1305,0.42,0.21,0.58,0.09,2.27,1017.40,1.75,2.68,0,,
1306,0.63,0.52,0.37,0.23,2.22,1013.50,2.62,2.42,1,,
1307,0.60,0.53,0.40,0.26,2.02,890.28,1.73,2.47,0,,
1308,0.55,0.44,0.45,0.20,2.21,838.24,1.40,2.04,0,,
1309,0.48,0.27,0.52,0.11,2.52,1021.98,1.76,2.29,0,,
1310,0.55,0.85,0.45,0.39,2.17,1036.12,1.51,1.73,0,,
1311,0.56,0.51,0.44,0.25,2.04,1001.26,2.11,3.08,0,,
1312,0.65,0.63,0.35,0.41,1.56,1081.10,1.91,1.98,0,,
1313,0.62,0.45,0.38,0.20,2.21,966.16,1.46,3.00,0,,
1314,0.54,0.92,0.46,0.41,2.27,1104.66,1.89,2.48,0,,
1315,0.43,0.76,0.57,0.40,1.88,1170.18,1.92,2.57,0,,
1316,0.54,0.77,0.46,0.37,2.11,1129.76,2.75,2.83,0,,
1317,0.72,0.42,0.28,0.17,2.41,1008.63,2.46,2.46,0,,
1318,0.56,0.59,0.44,0.29,2.04,942.26,1.54,2.28,0,,
1319,0.61,0.54,0.39,0.25,2.14,977.30,1.68,2.06,0,,
1320,0.62,0.42,0.38,0.20,2.07,911.78,2.63,2.15,0,,
1321,0.62,0.45,0.38,0.25,1.79,985.83,2.32,2.49,0,,
1322,0.69,0.24,0.31,0.12,1.92,951.63,2.38,2.28,0,,
1323,0.63,0.46,0.37,0.28,1.67,841.94,1.81,1.69,0,,
1324,0.68,0.51,0.32,0.26,1.92,935.20,1.42,1.67,0,,
1325,0.64,0.54,0.36,0.21,2.55,1025.99,1.99,2.79,0,,
1326,0.59,0.73,0.41,0.36,1.99,1056.22,2.23,3.17,0,,
1327,0.58,0.52,0.42,0.20,2.57,1021.56,2.63,3.41,0,,
1328,0.62,0.48,0.38,0.27,1.78,818.99,1.45,2.05,0,,
1329,0.62,0.62,0.38,0.35,1.79,973.13,1.93,2.57,0,,
1330,0.60,0.78,0.40,0.32,2.43,1116.11,2.41,2.81,0,,
1331,0.55,0.15,0.45,0.07,1.97,1063.70,2.57,2.23,0,,
1332,0.47,0.46,0.53,0.25,1.85,1052.44,2.35,2.36,0,,
1333,0.54,0.71,0.46,0.27,2.62,937.88,1.71,2.51,0,,
1334,0.63,0.55,0.37,0.24,2.31,1029.16,2.23,3.08,0,,
1335,0.54,0.41,0.46,0.18,2.27,1069.65,2.06,3.02,0,,
1336,0.62,0.58,0.38,0.29,2.00,1035.29,1.90,2.49,0,,
1337,0.78,0.54,0.22,0.25,2.18,875.65,1.94,2.49,0,,
1338,0.83,0.70,0.17,0.38,1.84,921.72,1.83,2.24,0,,
1339,0.77,0.57,0.23,0.28,2.06,984.04,2.00,3.04,0,,
1340,0.62,0.83,0.38,0.36,2.27,1159.00,2.33,3.07,0,,
1341,0.66,0.63,0.34,0.27,2.31,998.77,1.82,3.01,0,,
1342,0.67,0.24,0.33,0.11,2.23,916.95,2.61,3.38,0,,
1343,0.60,0.29,0.40,0.16,1.83,1010.66,2.16,2.85,1,,
1344,0.67,0.51,0.33,0.21,2.40,1078.77,2.18,2.73,0,,
1345,0.66,0.43,0.34,0.24,1.74,963.30,2.65,2.67,0,,
1346,0.54,0.49,0.46,0.37,1.32,883.01,1.45,2.09,0,,
1347,0.52,0.53,0.48,0.23,2.26,971.82,2.29,2.81,0,,
1348,0.36,0.66,0.64,0.29,2.30,1131.96,1.80,2.38,0,,
1349,0.57,0.61,0.43,0.33,1.84,1082.66,2.00,2.85,0,,
1350,0.59,0.52,0.41,0.25,2.11,1031.70,1.80,2.68,0,,
1351,0.66,0.42,0.34,0.17,2.47,938.02,2.51,2.59,0,,
1352,0.62,0.52,0.38,0.24,2.14,1003.24,2.20,3.11,0,,
1353,0.61,0.47,0.39,0.23,2.00,857.04,0.96,1.77,0,,
1354,0.78,0.60,0.22,0.33,1.81,1022.03,2.39,2.21,0,,
1355,0.63,0.48,0.37,0.32,1.52,905.97,1.68,2.31,1,,
1356,0.53,0.59,0.47,0.37,1.60,1151.70,2.59,2.23,0,,
1357,0.66,0.42,0.34,0.24,1.73,898.89,2.30,2.44,0,,
1358,0.55,0.76,0.45,0.52,1.48,1029.48,1.14,2.18,0,,
1359,0.50,0.87,0.50,0.33,2.64,1065.63,2.56,3.60,0,,
1360,0.49,0.54,0.51,0.23,2.34,1191.24,2.58,2.15,0,,
1361,0.52,0.46,0.48,0.19,2.48,1053.60,1.60,2.17,0,,
1362,0.83,0.46,0.17,0.26,1.74,779.62,2.56,3.28,0,,
1363,0.66,0.45,0.34,0.25,1.81,839.10,1.65,2.03,0,,
1364,0.51,0.45,0.49,0.19,2.44,1101.96,2.60,2.51,0,,
1365,0.56,0.57,0.44,0.26,2.19,1032.81,2.11,2.63,0,,
1366,0.60,0.29,0.40,0.14,2.09,989.98,1.80,2.79,0,,
1367,0.56,0.55,0.44,0.38,1.48,896.32,1.67,1.63,0,,
1368,0.49,1.23,0.51,0.51,2.40,1108.36,2.07,2.66,0,,
1369,0.58,0.92,0.42,0.38,2.45,1111.26,1.88,2.17,0,,
1370,0.68,0.43,0.32,0.25,1.70,787.65,1.62,2.30,0,,
1371,0.62,0.92,0.38,0.43,2.15,1071.09,1.68,2.47,0,,
1372,0.62,0.61,0.38,0.32,1.87,1029.83,2.23,2.51,0,,
1373,0.51,0.22,0.49,0.10,2.18,866.83,2.25,2.18,0,,
1374,0.56,0.52,0.44,0.29,1.78,956.81,1.62,2.60,0,,
1375,0.55,0.61,0.45,0.32,1.91,1106.61,2.48,3.19,0,,
1376,0.59,0.71,0.41,0.36,1.99,1147.08,2.37,3.29,0,,
1377,0.64,0.45,0.36,0.28,1.62,856.82,1.41,1.86,0,,
1378,0.59,0.79,0.41,0.42,1.89,1074.97,2.25,2.92,0,,
1379,0.58,0.31,0.42,0.17,1.77,936.31,1.50,2.02,0,,
1380,0.74,0.79,0.26,0.51,1.55,930.31,1.62,2.43,0,,
1381,0.58,0.70,0.42,0.44,1.60,1101.96,1.72,1.64,0,,
1382,0.51,0.72,0.49,0.29,2.43,1019.80,1.50,2.48,0,,
1383,0.61,0.58,0.39,0.33,1.77,1036.68,1.98,2.24,0,,
1384,0.44,0.53,0.56,0.25,2.17,927.23,1.74,2.35,0,,
1385,0.54,0.50,0.46,0.22,2.27,1001.63,2.38,2.40,0,,
1386,0.64,0.57,0.36,0.30,1.90,1036.25,2.78,2.79,0,,
1387,0.62,0.68,0.38,0.39,1.72,1050.16,2.48,2.90,0,,
1388,0.63,0.54,0.37,0.39,1.40,931.77,1.85,2.52,0,,
1389,0.58,0.85,0.42,0.51,1.65,1112.72,2.05,2.49,0,,
1390,0.52,0.68,0.48,0.28,2.40,989.25,2.22,2.77,0,,
1391,0.63,0.58,0.37,0.27,2.12,901.16,1.83,2.13,0,,
1392,0.55,0.09,0.45,0.04,2.06,923.85,1.97,2.02,0,,
1393,0.42,0.74,0.58,0.30,2.42,1145.58,1.68,1.94,0,,
1394,0.51,0.67,0.49,0.33,2.02,1072.62,1.88,2.58,0,,
1395,0.52,0.72,0.48,0.32,2.25,975.17,2.22,2.42,0,,
1396,0.68,0.45,0.32,0.22,2.06,998.82,2.23,2.51,0,,
1397,0.65,0.25,0.35,0.16,1.51,887.32,1.66,2.21,0,,
1398,0.58,0.47,0.42,0.26,1.79,970.30,1.92,1.97,0,,
1399,0.61,1.10,0.39,0.51,2.14,1086.78,2.01,2.09,0,,
1400,0.76,0.34,0.24,0.18,1.94,878.55,2.38,2.96,0,,
1401,0.75,0.47,0.25,0.27,1.72,1005.06,2.30,2.76,0,,
1402,0.50,0.47,0.50,0.21,2.29,966.62,1.52,2.29,0,,
1403,0.68,0.78,0.32,0.40,1.95,961.36,1.53,2.86,0,,
1404,0.39,0.78,0.61,0.42,1.87,1103.54,1.90,1.28,0,,
1405,0.82,0.51,0.18,0.27,1.89,965.70,2.36,2.98,0,,
1406,0.56,0.52,0.44,0.30,1.71,967.98,1.36,2.19,0,,
1407,0.60,0.73,0.40,0.44,1.64,1160.04,2.01,2.45,0,,
1408,0.68,0.58,0.32,0.34,1.71,1046.15,1.77,2.80,0,,
1409,0.56,0.64,0.44,0.31,2.08,1117.03,2.61,3.38,0,,
1410,0.68,0.72,0.32,0.30,2.43,1117.19,2.94,3.39,0,,
1411,0.51,0.95,0.49,0.47,2.03,1079.85,1.82,2.96,0,,
1412,0.59,0.60,0.41,0.35,1.70,769.17,1.32,1.40,0,,
1413,0.76,0.41,0.24,0.29,1.40,1000.96,2.62,2.67,0,,
1414,0.84,0.47,0.16,0.31,1.54,859.15,2.24,2.55,0,,
1415,0.63,0.68,0.37,0.28,2.38,1184.36,2.49,2.97,0,,
1416,0.49,0.53,0.51,0.23,2.34,1050.76,1.93,2.42,1,,
1417,0.58,0.57,0.42,0.34,1.68,899.30,1.92,2.35,0,,
1418,0.59,0.36,0.41,0.14,2.55,877.62,2.00,2.92,0,,
1419,0.53,0.47,0.47,0.25,1.91,937.34,1.98,2.45,0,,
1420,0.74,0.66,0.26,0.38,1.76,966.20,1.94,2.87,0,,
1421,0.46,0.52,0.54,0.26,2.01,1057.14,1.89,2.43,1,,
1422,0.69,0.59,0.31,0.31,1.90,897.16,2.25,2.28,0,,
1423,0.60,0.52,0.40,0.28,1.85,1090.94,1.60,2.40,0,,
1424,0.64,0.56,0.36,0.32,1.74,1048.79,2.26,2.48,0,,
1425,0.59,0.61,0.41,0.34,1.76,968.20,1.43,1.84,0,,
1426,0.79,0.52,0.21,0.21,2.45,790.03,2.08,2.71,0,,
1427,0.45,0.23,0.55,0.12,1.85,932.40,1.68,2.14,0,,
1428,0.55,0.90,0.45,0.41,2.19,1103.84,2.47,2.68,0,,
1429,0.40,0.60,0.60,0.29,2.10,1116.01,1.85,2.19,0,,
1430,0.46,0.79,0.54,0.36,2.22,1037.89,2.12,2.42,0,,
1431,0.60,0.85,0.40,0.40,2.15,995.61,1.51,2.34,0,,
1432,0.69,0.29,0.31,0.18,1.68,944.38,1.91,2.23,0,,
1433,0.77,0.74,0.23,0.39,1.91,1064.40,2.11,2.86,0,,
1434,0.60,0.69,0.40,0.37,1.84,981.05,1.92,2.43,0,,
1435,0.58,0.55,0.42,0.32,1.73,1023.12,1.84,2.22,0,,
1436,0.50,0.60,0.50,0.29,2.11,1018.64,1.42,2.39,0,,
1437,0.70,0.70,0.30,0.40,1.76,1006.71,1.82,2.44,0,,
1438,0.52,0.75,0.48,0.36,2.09,1058.82,1.98,1.88,0,,
1439,0.59,0.72,0.41,0.35,2.05,957.05,1.96,3.27,0,,
1440,0.68,0.84,0.32,0.55,1.53,971.42,2.12,2.17,0,,
1441,0.52,0.81,0.48,0.37,2.19,1080.34,1.77,2.74,0,,
1442,0.57,0.82,0.43,0.42,1.96,1089.12,2.32,2.67,1,,
1443,0.62,0.67,0.38,0.29,2.32,921.90,1.74,2.85,0,,
1444,0.41,1.18,0.59,0.51,2.30,1222.09,2.19,2.69,0,,
1445,0.54,0.58,0.46,0.30,1.93,938.64,1.54,2.44,0,,
1446,0.61,0.41,0.39,0.20,2.04,1050.94,2.20,2.80,0,,
1447,0.57,0.70,0.43,0.30,2.30,1020.42,2.28,2.59,0,,
1448,0.59,0.37,0.41,0.13,2.75,954.78,1.86,2.22,0,,
1449,0.58,0.94,0.42,0.43,2.20,1158.84,1.97,2.34,0,,
1450,0.55,0.42,0.45,0.19,2.18,962.72,2.21,2.36,0,,
1451,0.66,0.62,0.34,0.32,1.98,993.49,2.50,3.28,0,,
1452,0.68,0.84,0.32,0.37,2.25,888.70,2.03,2.98,0,,
1453,0.56,0.59,0.44,0.35,1.67,879.97,1.27,2.25,0,,
1454,0.41,0.76,0.59,0.37,2.03,1117.06,1.78,2.36,0,,
1455,0.63,0.39,0.37,0.21,1.87,874.69,1.97,2.54,0,,
1456,0.70,0.63,0.30,0.27,2.30,1014.09,2.79,2.98,0,,
1457,0.62,0.59,0.38,0.39,1.54,1022.77,1.33,2.61,0,,
1458,0.65,0.41,0.35,0.22,1.92,792.51,1.83,1.36,0,,
1459,0.63,0.37,0.37,0.17,2.14,1006.97,2.30,2.41,0,,
1460,0.55,0.53,0.45,0.24,2.21,1053.00,2.71,2.79,0,,
1461,0.61,0.68,0.39,0.38,1.78,973.17,2.00,2.17,0,,
1462,0.66,0.45,0.34,0.26,1.72,1005.90,2.00,2.60,1,,
1463,0.64,0.58,0.36,0.31,1.85,885.20,2.34,2.89,0,,
1464,0.73,0.21,0.27,0.10,2.03,987.38,2.20,2.43,0,,
1465,0.69,0.36,0.31,0.21,1.72,892.30,1.77,2.91,0,,
1466,0.74,0.33,0.26,0.20,1.63,729.67,2.12,2.43,0,,
1467,0.65,0.36,0.35,0.17,2.17,829.00,1.88,2.35,0,,
1468,0.71,0.77,0.29,0.39,1.96,963.24,1.92,2.53,0,,
1469,0.67,0.76,0.33,0.39,1.96,1049.93,1.82,1.75,0,,
1470,0.63,0.30,0.37,0.14,2.17,839.91,1.68,2.78,0,,
1471,0.72,0.52,0.28,0.30,1.71,914.08,2.51,3.09,0,,
1472,0.60,0.34,0.40,0.21,1.68,988.01,1.54,2.69,0,,
1473,0.57,0.52,0.43,0.29,1.78,931.47,1.86,1.72,0,,
1474,0.70,0.50,0.30,0.29,1.76,879.20,1.99,2.16,0,,
1475,0.49,0.88,0.51,0.49,1.80,1187.49,2.00,2.00,0,,
1476,0.76,0.58,0.24,0.30,1.90,912.93,2.10,1.97,0,,
1477,0.64,0.48,0.36,0.23,2.11,984.66,1.46,2.33,0,,
1478,0.75,0.70,0.25,0.35,2.00,1011.22,2.60,3.29,0,,
1479,0.63,0.74,0.37,0.38,1.96,1047.71,1.94,2.69,0,,
1480,0.73,0.43,0.27,0.29,1.51,881.71,2.09,2.14,0,,
1481,0.66,0.96,0.34,0.51,1.89,1031.97,1.37,3.07,0,,
1482,0.67,0.45,0.33,0.27,1.68,857.42,1.89,1.97,0,,
1483,0.72,0.43,0.28,0.23,1.84,1058.44,1.75,3.16,0,,
1484,0.81,0.49,0.19,0.31,1.58,907.80,1.87,2.21,0,,
1485,0.54,0.43,0.46,0.18,2.36,900.38,2.16,2.55,0,,
1486,0.40,0.52,0.60,0.30,1.73,1112.84,2.19,2.45,0,,
1487,0.38,0.70,0.62,0.29,2.38,1135.04,1.76,2.17,1,,
1488,0.65,0.68,0.35,0.42,1.59,921.05,2.09,2.73,0,,
1489,0.60,0.62,0.40,0.37,1.68,865.60,1.58,2.66,0,,
1490,0.65,0.54,0.35,0.35,1.53,998.91,1.99,2.61,0,,
1491,0.59,0.65,0.41,0.39,1.66,1033.25,2.03,2.13,0,,
1492,0.69,0.55,0.31,0.37,1.49,976.35,2.20,2.48,0,,
1493,0.79,0.42,0.21,0.26,1.60,723.18,1.66,2.86,0,,
1494,0.60,0.40,0.40,0.16,2.47,1027.17,2.17,2.82,0,,
1495,0.72,0.23,0.28,0.11,2.05,928.42,1.48,2.06,0,,
1496,0.79,0.41,0.21,0.27,1.56,991.95,2.17,2.59,0,,
1497,0.36,1.16,0.64,0.51,2.27,1201.67,1.72,2.03,0,,
1498,0.62,0.76,0.38,0.38,2.03,962.59,2.45,2.81,0,,
1499,0.56,0.82,0.44,0.41,1.99,987.66,1.88,2.40,0,,
1500,0.48,0.86,0.52,0.50,1.71,974.85,1.54,1.37,0,,
1501,0.77,0.46,0.23,0.22,2.10,1063.27,2.47,2.90,0,,
1502,0.56,0.47,0.44,0.25,1.93,942.55,2.07,2.88,0,,
1503,0.55,0.70,0.45,0.42,1.68,968.59,1.62,2.49,1,,
1504,0.59,0.44,0.41,0.23,1.92,833.99,1.90,2.44,0,,
1505,0.58,0.84,0.42,0.52,1.61,1167.20,1.77,1.79,0,,
1506,0.65,0.75,0.35,0.38,1.98,1091.42,2.24,2.46,0,,
1507,0.53,0.59,0.47,0.25,2.36,976.78,2.57,2.99,0,,
1508,0.68,0.36,0.32,0.25,1.44,977.34,2.27,2.56,0,,
1509,0.68,0.58,0.32,0.34,1.74,923.97,2.03,2.34,0,,
1510,0.53,0.61,0.47,0.38,1.58,967.20,1.51,2.32,0,,
1511,0.43,1.03,0.57,0.45,2.29,1104.45,2.37,2.64,0,,
1512,0.64,0.76,0.36,0.33,2.34,930.86,1.82,2.19,0,,
1513,0.65,0.36,0.35,0.19,1.90,856.54,1.54,2.16,1,,
1514,0.56,0.71,0.44,0.32,2.24,1040.93,1.57,1.67,0,,
1515,0.49,0.41,0.51,0.17,2.40,976.31,2.46,3.18,0,,
1516,0.50,0.79,0.50,0.38,2.10,1045.75,2.07,1.87,0,,
1517,0.57,0.79,0.43,0.36,2.18,1088.03,2.40,2.38,0,,
1518,0.66,0.64,0.34,0.30,2.12,1056.54,2.00,2.98,0,,
1519,0.54,0.49,0.46,0.22,2.21,1033.71,1.74,2.21,0,,
1520,0.61,0.69,0.39,0.42,1.64,944.77,1.66,2.24,0,,
1521,0.46,1.01,0.54,0.42,2.37,1195.62,1.83,2.39,0,,
1522,0.74,0.35,0.26,0.20,1.71,940.97,1.97,2.60,0,,
1523,0.59,0.37,0.41,0.17,2.15,979.00,1.78,2.51,0,,
1524,0.47,0.80,0.53,0.42,1.88,1252.78,2.16,3.07,0,,
1525,0.65,0.75,0.35,0.35,2.15,1234.15,2.47,2.65,0,,
1526,0.66,0.66,0.34,0.29,2.26,1124.10,2.60,3.47,0,,
1527,0.69,0.69,0.31,0.31,2.24,913.15,1.40,2.60,0,,
1528,0.63,0.82,0.37,0.36,2.26,1090.15,2.36,3.35,0,,
1529,0.62,0.42,0.38,0.25,1.66,1016.81,1.79,2.26,0,,
1530,0.59,0.87,0.41,0.45,1.91,1137.67,2.37,3.34,0,,
1531,0.69,0.60,0.31,0.32,1.89,968.26,2.32,2.54,0,,
1532,0.59,0.44,0.41,0.23,1.93,1165.40,2.49,2.76,0,,
1533,0.66,0.49,0.34,0.24,2.06,895.03,1.31,1.86,0,,
1534,0.64,0.75,0.36,0.44,1.70,1005.67,1.75,2.47,0,,
1535,0.68,0.37,0.32,0.22,1.69,825.18,1.13,1.85,0,,
1536,0.63,0.36,0.37,0.19,1.90,876.90,1.93,2.62,0,,
1537,0.24,0.91,0.76,0.48,1.87,1124.85,1.20,1.91,1,,
